ID,username,date,text
13,---霁夜---,2022年02月03日 21:33,这种人就是前几天刘学州那事的时候“怎么可以网暴呜呜呜他好惨”然后转眼就去网暴别人还不觉得自己有错……真他妈贱啊…… ​
14,千千茴,2022年02月03日 20:54,@刘学州a 今天是姐姐的生日，我把蛋糕分你一半，把祝福都送给你。愿你我都得偿所愿，万事胜意。  ​
15,_小羊公子,2022年02月03日 20:51,晚上去看了看李医生微博评论区，有些人祝他新年快乐，有些人和他说为刘学州感到难过。原来两年时间真的就这么过去了，觉得恍惚。 ​
16,深蓝Yahoo,2022年02月03日 20:46,#刘学州亲生父母或将涉嫌遗弃罪#希望弟弟遇到了暖意，加害过他的人得到应有的惩罚 ​
17,一枫情书_,2022年02月03日 20:45,分享单曲 K大海 (@网易云音乐) 刘学州  新年快乐  天冷加衣  我们都爱你 ​
18,用户6297619570,2022年02月03日 20:38,#刘学州#求求大家不要忘记他 ​
19,橘猫娱乐馆,2022年02月03日 20:36,马天宇为刘学州发声，正因为有着如此相同的经历才会更加感同身受吧。  L橘猫娱乐馆的微博视频 ​
20,观摩互联网的本人,2022年02月03日 20:34,31日，刘学州舅妈委托律师维权。律师除夕夜发文：正义也许会迟到，但绝不会缺席！  L观摩互联网的本人的微博视频 ​
21,今天没吃早饭-,2022年02月03日 20:28,刘学州的事看得我太难过了 ​
22,阿朱就是阿朱呀,2022年02月03日 20:24,#刘学州#十天过去了，大家都在过年了，忘了这个可怜人了，欺负他的，网暴他的人也都任何惩罚，可是他本人再也回不来了。孩子你太傻了！互联网就是这样的，爱恨都是廉价的一阵一阵的。永远热泪盈眶，永远死不悔改，永远等下一次，永远有下一次。不信，让我们拭目以待。 ​
23,拉纯永做瓜被我脚刹,2022年02月03日 20:13,#鹿道森##刘学州#当你死去，世界突然开始爱你。 ​
24,从未拒绝王嘉尔,2022年02月03日 19:03,#刘学州去世# 是不是只有死亡这一种方式才能得到解脱，只有你的死才能让人看到事情的严重性吗，最怕你的牺牲没有价值，坏人也不会反思 2邯郸 ​
25,老司机专线,2022年02月03日 18:58,河北寻亲男孩刘学州轻生，经医院抢救无效后死亡。出生后被当彩礼卖掉，寻亲后遭二次遗弃  #心动视频大赏# L老司机专线的微博视频 ​
26,樱井侑子本丸甜,2022年02月03日 18:42,#刘学州# 不会再被同意的好友申请我却申请了一次又一次...@刘学州a 2达州·宣汉县 ​
27,人生如梦多爱自己,2022年02月03日 18:37,#刘学州遗书希望加害者得到惩罚#啥时候有结果啊，一直关注中 ​
28,万般皆风景,2022年02月03日 18:16,#刘学州父母#新的一年，希望能看到这件事情的后续处理情况，因为还有人记得这个孩子曾经来过 ​
29,老程不老成-,2022年02月03日 18:10,寻亲男孩刘学州去世，谁应该为此负责？#刘学州去世##刘学州遗书希望加害者得到惩罚##刘学州将账户余额一半捐石家庄孤儿院# L老程不老成-的微博视频 ​
30,步悠然35190,2022年02月03日 17:53,#刘学州亲生父母或涉遗弃罪#不是所有父母都是合格的 ​
31,小柒电影剪辑,2022年02月03日 16:56,#综艺剪辑#马天宇为刘学州发声因为淋过雨所以想为他人遮把伞希望不再有网络暴力马天宇刘学州  L小柒电影剪辑的微博视频 ​
32,2般见识,2022年02月03日 16:56,#为什么你不愿意走亲戚了#【#年轻人不爱走亲戚的后患#】最近，网上出现一个新词，叫“断亲”，意思是说如今许多90后已经不和亲戚联系了。他们宁可宅在家里，也不愿意和亲戚走动。这很可怕，90后大多数都是独生子女，一旦长辈都走了，又没有亲戚接续，客观上就等于断了自己的“退路”。有人可能会说， ​  展开c
33,林真如520,2022年02月03日 16:34,#刘学州  刘学州遗书希望加害者得到惩罚#只要心闲下来，想起你心便隐隐作痛！重装微博上来一看热度减退了，没关系，天网恢恢疏而不漏！看到好几位高人说你是童子命，我信！也释然了很多? ? ?  ​​​
34,Rainbow-Starrrr,2022年02月03日 15:55,刷到刘学州的视频      太心酸了    在他那个年纪同龄小孩儿都无忧无虑的 而他每天还要发愁学费基本的生活费从何而来放假住哪儿     唉～事已至此希望律师能为刘学州讨回公道 ​
35,彬彬斯基,2022年02月03日 15:27,#刘学州#等待一个结果，还州州一个公道 ​
36,白茶娱乐馆,2022年02月03日 14:41,马天宇为刘学州发声，正因为有着如此相同的经历才会更加感同身受吧。  L白茶娱乐馆的微博视频 ​
37,Leo丨聖千寻,2022年02月03日 14:34,@刘学州a 有些人的当下是你再也到不了的明天 2三亚 ​
38,樱井侑子本丸甜,2022年02月03日 14:07,#刘学州# 可惜你不会回我消息，QQ微信的申请你也不会再同意我...@刘学州a 那就期待多年后我们的相遇吧...到时候一定亲自抱抱你，给你述说这些年来我的思念... 2达州·宣汉县 L樱井侑子本丸甜的微博视频 ​
39,樱井侑子本丸甜,2022年02月03日 13:58,#刘学州# 人间悲剧啊@刘学州a 2达州·宣汉县 L樱井侑子本丸甜的微博视频 ​
40,是北方,2022年02月03日 13:54,知乎上关于刘学州事件的那几个热门文章怎么不见啦？咋还能凭空消失呢？（阴阳脸 ​
41,会飞的鲤鱼01,2022年02月03日 13:23,刘学州事件：我忘记放了，但是养比生重要，不养就不要生，不想承担责任就不要生！ L会飞的鲤鱼01的微博视频 ​
42,DM阿阿希希,2022年02月03日 13:08,最近一周，刘学州的听歌记录已是空白。再不见那夜里，听歌的小孩 ​
43,匣与桔YEATS,2022年02月03日 13:04,看着别人的父母把所有好都倾情付出，甚至“拼命”但同样有刘学州父母的存在 2上海·石化八村 ​
44,樱井侑子本丸甜,2022年02月03日 12:58,#刘学州# 好想你啊@刘学州a 2达州·宣汉县 ​
45,Leo丨聖千寻,2022年02月03日 12:57,So calm down梦里海市云霞梦外羽化成她海上楼月镜中花到底谁爱谁恨谁怕结局冻裂崩塌何必暴晒再融化无人的碧蓝海域试图吞下我梦境里的盛世与浮华海市蜃楼多像个童话刻画成我眼里的年华@刘学州a @馬天宇 @鹿道森 2三亚 ​
46,圆月繁星,2022年02月03日 12:53,想知道八个孩子那事有后续吗？刘学州的父母呢，也不了了之了吗？ ​
47,艾米制作漫画头像,2022年02月03日 12:46,看一次，哭一次，从出事那天起，哭了二十几次了，刚看了你制作的石家庄法商学校的视频，你视频拍的很好啊，你的学校很好啊你在学校里很帅，宝贝孩子，大家没有保护好你，我们都给你道歉今天年初三，到处看你的视频，又哭了三次，哭的不能 ​  展开c
48,蔓珠莎华W,2022年02月03日 12:36,@刘学州a 亲爱的小孩，今天是第十一天了，你过得好吗？ ​
49,山西雪豹,2022年02月03日 12:34,#刘学州亲生父母或将涉嫌遗弃罪# 话说，刘学州的垃圾父母处理了没？ ​
50,游心言淡,2022年02月03日 12:08,刘学州生父母，你们这个年过的好吗？伤害刘学州的老师，你这个年过的好吗？新京报断章取义报道刘学州的记者你这个年过的好吗？因为各种原因网暴刘学州的吃瓜群众们，你们这个年过的好吗？ 希望你们过的不好。你们不配过的好。 ​
51,早闻天下事,2022年02月03日 12:03,刘学州事件，有点棘手。 ​
52,迪歐迪歐呀,2022年02月03日 11:49,@刘学州 那一刻，你是解脱的对吧 ​
53,梧桐请回答,2022年02月03日 11:45,如果刘学州的故事是这样的…… L桐保讲故事的微博视频 ​
54,晓芸NI,2022年02月03日 11:38,此时此刻，感慨万千——同情某人遇到的父母像刘学州的亲生父母。再次刷新了我的世界观，居然会有父母一天就想从子女身上获取“利益”，子女旦凡没有给他争光或者没有让他满意，可以做到形同陌生人。子女要靠撒谎自己挣钱多，撒谎自己工作好，来博取父母的一点疼爱。是的子女应该孝顺，是中华民族的传统 ​  展开c
55,就是lllevel,2022年02月03日 11:33,#刘学州#真的是特别遗憾以这种方式认识你弟弟现在应该找得到一处好人家了吧 ​
56,小阳仔-努力开心,2022年02月03日 11:00,刘尚阳 - 亲爱的小孩 真的很好听，推荐给你们！（来自 @酷狗音乐 海量曲库，极致音质）K亲爱的小孩刘学州哥哥，如果你在天堂或者来世听到这首歌（翻唱）一定要记得我啊，一个曾经呵护的弟弟，一直爱着哥哥。失去你我真的很难受，来世你还来我这一趟，好吗？ ​​​@刘学州a ​
57,赵亦晨_罓,2022年02月03日 10:43,㋁㏢，梦见抱着刘学州去医院抢救他很小，目测七八岁的样子他还叫我姐姐，抢救结果没梦到 心疼 2庆阳·环县 ​
58,泡芙柿,2022年02月03日 10:35,好像一下想明白了很多事情能够理解刘学州理解鹿道森 ​
59,箴彩云,2022年02月03日 10:27,今春晚节目唯一让我不舒服的就是那块相声@汪老师：刘学州离开了人间，国足输给了越南，相声艺术家在春晚上的相声让人心里发堵……这年过的！ L箴彩云的微博视频 ​
60,钦差小幕,2022年02月03日 10:26,刘学洲事件是网暴结果的吗《周兆成律师接手刘学州案，灵魂5问的背后，一定会想起另外一个人》周兆成律师做了声明之后，对刘学州发出了灵魂5问，情真意切令人动容。周兆成律师的喊声，喊出了他对刘学州之死的痛惜 ​  展开c
61,暮梓彤,2022年02月03日 10:23,刚刚又看到刘学州的事情，还是想说，这孩子一生太惨了，亲生父母不是人，初中老师学生也不做人，网暴的网友更不是人，唉，他真的好惨，求求了，让网暴入法吧 ​
62,莺歌山之冬,2022年02月03日 10:20,活到现在最意难平的大概也就是刘学州的离世，没有之一，我从来没有超过一个星期不快乐，但是2022年，因为这小孩子，我第一次感受到什么叫茶饭不思，意难平，越了解越难平。 ​
63,流星小丝,2022年02月03日 10:11,小蝌蚪找到了妈妈，真相却是妈妈不要它了        与人类不同，青蛙妈妈并没有抚养下一代的重任，它只负责产卵，其他一概不管。用人类的语言来说，小蝌蚪一开始就是被遗弃的，妈妈生下它，让它自生自灭。没有妈妈，何以为家，这是人类才有的情感，动画片里，小蝌蚪在寻找妈妈的过程中的艰辛探索，是人 ​  展开c
64,TVBC水汪汪,2022年02月03日 10:05,刘学州生前已把剩下的钱分配好。网友：比姚策心灵美刘学州事件随着周律师的高调介入继续升温。是啊，一个从三个多月就被亲生父母卖与他人的孩子，一个从四岁就没有了“父母”呵护的孩子，一个从小就被人喊做“野孩子”的孩子，一个从小就遭受欺凌的孩子，一个生不进家门死不入祖坟的孩子，想想就让 ​  展开c
65,Han萌宝,2022年02月03日 10:03,好累、偶尔也有极端的想法像#刘学州# 一样。近两年也算是看透了世间百态。懂你的人不说也懂你。不懂你的人说了也不懂你。 ​
66,鸣人出场了叫我,2022年02月03日 09:54,#刘学州# 每日一问 欺负州州的畜生遭报应了吗 ​
67,周兆成律师,2022年02月03日 09:41,【周兆成：全力办好刘学州案，这是一份沉甸甸的责任与使命！】周兆成律师#律师呼吁立法惩治键盘侠#         今天是大年初三，接了刘学州案，这是一份沉甸甸的责任与使命！       在今年2022年，我将会给大家交上来一份怎样的答卷呢？这个案件我们需要思考的是，如何打击网暴”让“网络无暴 ​  展开c
68,只想做咸鱼121,2022年02月03日 09:14,#刘学州##刘学州父母# 有人从医院买孩子，孩子是被父母卖了的，听说是未婚先孕不想养，花了10万，父母生而不养，有人却如获至宝，好纠结，这样到底对不对 ​
69,黽鬬鳪懖綸,2022年02月03日 08:47,#新京报##刘学州事件40个微博账号被永久禁言# 据说图会被和谐，我试一下@新京报 ​​​， ​​​禁言几个账号在这条人命前显得特别搞笑，还是冷笑那种#大年初三# 没睡好 ​​​
70,用户6300863166,2022年02月03日 08:18,#刘学州#10天过去了，大同警方案子查的咋样了？ ​
71,爱分享的Fancy,2022年02月03日 08:12,疑点新闻奇葩事件杭州纵火案多疑点，冰川王子案有嫌疑。刘学州案奇葩亲子，成都中医大晒聊骚。 ​
72,龙胆囡FMAD3020,2022年02月03日 07:26,#刘学州# 我龙胆囡/FJY(飞机云）《爱的附加条件》K爱的附加条件（@网易云音乐） ​
73,黛紫风铃Cathy,2022年02月03日 07:25,《刘学州生前视频曝光，没有怨言还处处体谅父母，父母刷到会愧疚吗》刘学州生前视频曝光，没有怨言还处处体谅父母，父母刷到会愧疚吗O网页链接 ​
74,我是清风扬1977,2022年02月03日 06:37,拒绝网络暴力！#刘学州# 事件呼吁应该网络暴力跟现实犯罪同等力度！nn。期待能有一个公正结果。愿天下没有孩子买卖交易愿天下无拐。 L我是清风扬1977的微博视频 ​
75,Karry_0819,2022年02月03日 06:31,@刘学州a  州州，我带表8个关心你的小姐姐和小哥哥来看你了。我们买了你最喜欢吃却又舍不得吃的车厘子、砂糖橘、草莓、红豆奶茶、椰子和蛋糕，不够你就托梦给我，我再给你买。怕你你和人吃这些东西太孤独，我今晚在码头陪你。第二天中午再走！奶茶我陪你一起喝吧，你的那杯我特地嘱咐老板加了糖。  ​  展开c
76,那只阁楼的猫没有糖,2022年02月03日 04:56,真的不能刷到刘学州的视频了 一刷就要去搜索一搜索就要哭得脑仁子抽疼抽疼的真的太意难平了 ​
77,阳望的天空,2022年02月03日 02:08,像活着，人间失格，被嫌弃的松子的一生我从不觉得他们值得同情，从投胎来看，他们比大多数人幸运，最后完全就是自己作死才落得如此下场，自作死就不要说天要命，这世界有多少像刘学州这样的人，从出生开始就拿着最烂的牌，每走一步都小心翼翼，生怕一步走错堕入深渊，一次次在绝望中鼓励自己，却从未被 ​  展开c
78,一粒星光WY,2022年02月03日 01:35,学州@刘学州a   道森 @鹿道森  天气好冷啊 你们在那边记得多穿点哦    你们应该已经成为很好的朋友了吧 2赣州·安远县 ​
79,K-820,2022年02月03日 01:13,“风很愉快，花很开心，希望你快乐。”@刘学州a L用户5882601959的微博视频 ​
80,是时开心啊,2022年02月03日 01:09,#刘学州遗体火化亲生父母未到场# 亲生父母真是连畜生都不如，太j了！能报警 能告他们吗？ ​
81,圆圆圆是个圈圈圈,2022年02月03日 01:01,高中的时候学到“不忍卒读”这个成语，并不太理解其内涵。现在越长大，越明白人生的苦难太多，有时候真的不忍心读那些字字泣血的文章，比如关于刘学州事件，拐卖女大学生生好多小孩的事件的文章，从来不敢细看。 ​
82,蓝舒木木木木张,2022年02月03日 00:56,这个世界有个奇怪的现象，总是等到作者离世，人们才会去读他的作品。这个社会还有个奇怪的规律，总是等到人以命相逼，才意识到事情不小。 ——李尚龙对林奕含也对刘学州 ​
83,狐狸不爱系裤腰带,2022年02月03日 00:26,如果想念够深，能让那个人回来吗？@刘学州a ​
84,吃了就睡的猪ai,2022年02月03日 00:15,这个世界上每天都有人经历着很多 比我遭受的多得多 与他们相比我这算不了什么 为生活奔波的人哪个都比我强 每个人都会有着这样或那样的希望 可希望并不一定会成真 我希望我的父母平平安安我说真的 希望家人我的弟弟们都变得好 他们每个人都有着自己的烦恼 微博是我自己发泄情绪的天地 我以为没有人了解 ​  展开c
85,红茶娱乐馆,2022年02月02日 23:50,马天宇为刘学州发声，正因为有着如此相同的经历才会更加感同身受吧。  L红茶娱乐馆的微博视频 ​
86,sunruirui瑞,2022年02月02日 23:44,"我提出了问题 “为什么刘学州事件，掐头去尾的报道”,你们这样的多媒体乱报道，把一个十五岁没有家的孩子去伤害，良心不会痛吗？ O为什么刘学州事件，掐头去尾的报道 @新京报 ​"
87,邱江杰Q_176,2022年02月02日 23:43,#杀害刘学州的凶手你们恐惧战兢吗？大v快评 #河北寻亲男孩刘学州已去世 ##快手# @快手 L微微 剪辑师的快手视频 ​
88,盗版张飞不怕正版李逵,2022年02月02日 23:24,#刘学州遗体已火化#希望繁殖癌能少一些，打着“我给了你生命”这种旗号为所欲为的父母都应该天打雷劈，不得好死，如果弟弟还活着多好，让我们一起努力奋斗努力挣钱努力打亲生父母的脸。 ​
89,柠檬树下的小仙女z,2022年02月02日 23:18,想州州@刘学州a ​
90,肖意一肖宇齐,2022年02月02日 22:49,刘学州@刘学州a ，我想代大家问一个#问题#，#十五岁#是个什么样的#年纪#呢？ ​
91,manyuelk,2022年02月02日 22:41,不行了不行了我就是苏小宇真的哭死了不要再有第二个刘学州了都还这么小为什么过的这么苦好想帮帮他这个寒假一直就是刷过鹿道森那么好一个男孩拍的照片特别有想法刘学州那么优秀获得那么多奖还有墨茶评论里有人说苏小宇的故事是假的但是我情愿他骗我那么小凭什么受这么多罪我觉得他的家人都 ​  展开c
92,停在台风之眼,2022年02月02日 22:32,丰县没有再更新进展，刘学州之死也再无下文。假期一直关注这两件事，非常愤怒，又无力。 ​
93,翩翩飞鸿baby,2022年02月02日 22:07,#刘学州遗体火化亲生父母未到场#一愿那对没心肝的男女受到应有的惩罚。二愿孩子来世生在一个爱的家庭，有一对宠他爱他的爸妈。第一次如此虔诚的希望人有来世。 ​
94,HeroinEwhy,2022年02月02日 22:01,2022第一个悲伤的消息来的如此突然…每一年的感慨大概都是以生命这个主题开始晚上和爷爷奶奶聊刘学州的新闻奶奶说她仔细看了最后一封信 觉得太可惜 ​
95,白露知时节,2022年02月02日 21:52,#大年初二#偌大的强国，如果连一个孤苦伶仃、无家可归的孩子都容不下，都藐若蝼蚁，再强大又有何用？良心强大再是真正的强大，金钱堆砌不起真正的强国！#刘学州##新京报# ​
96,换你回眸易笑,2022年02月02日 21:36,这几个月来，最受大家关注的社会新闻就是孙海洋与孙卓认亲的事情。此前作为电影《亲爱的》原型，长达14年的“高调寻子”，让他们受到了网友的关注。从孙卓开始，借助高科技人脸比对，很多家庭找到了自己的亲生儿子。这些被找到亲生父母的孩子现状，也是很多网友关注的重点。首先就是孙卓，年仅18岁的 ​  展开c
97,肖意一肖宇齐,2022年02月02日 21:33,刘学州@刘学州a ，这几天我太#倒霉#了！ ​
98,宝慧丫丫,2022年02月02日 21:33,亦伊《再无归期无归人》K再无归期无归人 @QQ音乐@刘学州a ​
99,游心言淡,2022年02月02日 21:27,刘学州生父母，你们这个年过的好吗？伤害刘学州的老师，你这个年过的好吗？新京报断章取义报道刘学州的记者你这个年过的好吗？因为各种原因网暴刘学州的吃瓜群众们，你们这个年过的好吗？ 希望你们过的不好。你们不配 ​
100,今早天使降临,2022年02月02日 21:20,魔怔了，这几天一刷到刘学州的视频就很难受，这个世界好像把所有苦难都给他了，唯一让他感到安慰的就是养父母家姥姥姥爷舅舅舅妈对她像亲生的一样，拼命努力十五年，把自己活成一道光，寻找亲生父母一个月，就给孩子逼死了，真的是有幸的人童年可以治愈一生，不幸的人用一生治愈童年，孩子长得也挺好， ​  展开c
101,蜜蜜蜜梨6484294201,2022年02月02日 21:18,#刘学州#州州你的灵魂得到你想要的了吗？伤害你的人还没有得到应有的惩罚 希望老天可以给这个苦命的孩子一个公道 ​
102,流转迂回,2022年02月02日 21:13,#刘学州# 睡觉 2保定·曲阳县 ​
103,我爱维怡,2022年02月02日 21:01,今天又想到刘学州，好想带这个小弟弟吃顿大餐，唉，想到后气的吃不下东西 ​
104,肖意一肖宇齐,2022年02月02日 20:52,刘学州@刘学州a ，#今天#我被气了！ ​
105,杰尼鱼鱼吖,2022年02月02日 20:51,#刘学州家人已委托律师维权#希望可以给这个可怜的孩子一个公道。#刘学州遗书希望加害者得到惩罚# ​
106,女汉子-庄姐,2022年02月02日 20:45,没有经历过别人的苦，就不要随便评论别人的人生，希望刘学州回来 ​
107,urnot阿林,2022年02月02日 20:02,#大年初二许下心愿#没错，心愿是州州弟弟的心愿达成#刘学州# ​
108,秋杪-,2022年02月02日 19:43,#刘学州遗体火化亲生父母未到场#希望所有伤害过刘学州的人都能受到相应的惩罚！ ​
109,知之为云,2022年02月02日 19:00,刘学州的离开只是一念之差，太蚕古了，怎么制止网暴[牛哞哞]#我的vlog生活##宝藏视频创造营##网爆#日常vlog L知之为云的微博视频 ​
110,鸿兔大展吖,2022年02月02日 18:43,#刘浩存演技#  键盘侠，网络暴力之徒真是一点悔意都没有啊，害死了多少人了对着一个跟他们毫无关系的小姑娘骂了大半年了，这是要把人家小姑娘骂死才甘心了？评论区到处都是删帖复制的黑评，同行竞争背后下黑手，网络暴力水军不要太明显了。 网络暴力已经害死了很多人了，崔雪梨，刘学州事件都历 ​  展开c
111,zhuzhu安吉,2022年02月02日 18:35,州州我以后可能不会每天发博了，因为会难过，今天我还在你们南宫双语学校看到你的简介，好优秀啊，底下留言还有你写的“支持刘学州”哈哈，感觉你还活着，只要不把你遗忘，你就还活着，只是再也没办法看到你长大，成年，变老了，想想还是心酸 ​
112,formacat,2022年02月02日 18:30,2022年虎年应当成为最严厉的打拐年吧，并且要对将来的拐买拐卖人员都要形成有力的遏止。不然对不住刚去世的刘学州，以及也对不住还被铁链子拴住的徐州八孩女子，以及更多正在遭受苦难的被拐者，对应的破碎的父母家庭！也对不住我国这么多年的发展和进步！ ​
113,二熊本熊出没,2022年02月02日 18:09,刘学州说他只是想要一个家而已，当时直接把我看哭了，我太理解这种感受了。多少次哭的稀里哗啦的时候，满脑都是这个声音。可是我会接着一惊，我不是有家吗？我爸妈没有离婚，身体健康，我怎么有资格和他感同身受呢？我缺的是什么？人间魔幻现实主义。 ​
114,真昼Silence,2022年02月02日 18:04,劉浩存星途璀璨，可那个小女孩却终身残疾，她自己风评不好，又来消费真正值得痛心的刘学州，我该说啥好呢？#刘浩存演技# ​
115,倩露影视推荐,2022年02月02日 18:00,敢说敢发声 真的很难得 明星 马天宇 刘学州#娱乐综艺##明星日常# L倩露影视推荐的微博视频 ​
116,小阳仔-努力开心,2022年02月02日 17:53,@刘学州a 在天堂过得好吗？有没有忘了我？我是曾经被你从绝望里拉出来的那个人，还记得我吗？都怪我，每一直联系上你。你还记得我们到时候我们一起吃饭吗？你总是安慰着我，对我总是那么的友好。我们认识不久，但我还会认你哥哥，无论过了多久，我不会忘了你，如果有来世，我做哥哥，你做弟弟，咋样？ ​  展开c
117,北京普洱专业供应商昭仁,2022年02月02日 17:46,#刘学州##三亚##蜈支洲岛# 灯塔码头，正月初一，依然? ️很多人给他点了外卖，之前的都被清理到旁边垃圾桶? 里了。这里是五星级景区旁的渔村，熙熙攘攘的游客，吃喝玩乐? ? ? ? ? ? ? ……伴随着海里和海岸的垃圾和死鱼? ……也是社会的倒影 #抑郁症# ​
118,Shirley-子兮,2022年02月02日 17:42,花了一点时间去上网了解刘学州事件，为一个花季少年感到痛心，虽然不认识，也忍不住落泪～ ​
119,幸福的桂子,2022年02月02日 17:31,刚才在卫生间洗头，听见外面几个邻居在讨论#刘学州#事件，在怒斥他父母，现在网络普及真的太广了，农村街头巷尾不是议论同村的家长里短，而是开始讨论网络热点。 ​
120,蔓珠莎华W,2022年02月02日 17:12,@刘学州a 亲爱的小孩，今天是第十天了，你过得好吗？有没有出去拜年呢？有没有开心的笑过？ ​
121,笑圈少女,2022年02月02日 17:12,刘学州去世后，网友们认为网暴是压死骆驼的最后一根稻草，而某些不实报道则是大规模网暴的发端，纷纷在评论区留言谴责，目前A报和B报已关闭评论区留言！ L容嬷嬷不扎人的微博视频 ​
122,罄竹难书92,2022年02月02日 17:08,刘学州去世前还有好多想说的话，我都没有 ​
123,艾米制作漫画头像,2022年02月02日 17:00,今天年初二，早晨看刘学州视频，哭了，现在看学州视频，又哭了，眼泪㓎满眼眶，抽泣  今天为这孩子已经哭两次了#刘学州##刘学州遗书希望加害者得到惩罚# ​
124,卷心椰奶冻,2022年02月02日 16:33,刘学州真的太可怜了 希望键盘侠在世界上消失！ ​
125,夜雨霖铃响,2022年02月02日 16:32,#刘学州家人已委托律师维权#希望一切顺利！也希望那些带节奏，阴谋论的，都歇歇吧!相信舅妈，相信周律，相信国家，一定会还孩子一个公道！ 2漯河 ​
126,海燕3636730712,2022年02月02日 16:31,终于看到官方为刘学州发言，心里很激动，州州宝贝你的遗愿终于看到希望了，我们这些爷爷奶奶叔叔阿姨哥哥姐姐们会继续持续关注持续谈公道的，州州宝贝放心，正义一定不会缺席?  2舟山·嵊泗列岛风景名胜区 L海燕3636730712的微博视频 ​
127,小帅帅散不尽流年,2022年02月02日 16:16,给州州弟弟点的奶茶去不了三亚只能通过这种方式追悼弟弟了#刘学州去世# 2佛山 L小帅帅散不尽流年的微博视频 ​
128,阿歪咩,2022年02月02日 16:14,有一说一这些人网暴真可怕..虽然说刘浩存她家的确有错吧但网络上这些人在刘学州事件打着“拒绝网暴”的旗号 反过来用那么恶毒的言语骂一个女生。也真是....呃 ​
129,几几几几几喂,2022年02月02日 16:13,我觉得刘浩存真的挺可怜的 年纪轻轻就被全网黑 其实至始至终都是她妈妈的错 刷到她微博的时候几十条热评只有一条在夸她 何必对一个年轻女孩儿咄咄逼人呢 当初刘学州的事情一出 网友又见风使舵 甚至把网暴的人的照片都挂出来还配上“杀人犯” 连稍稍持中立态度的网友都不放过 这又何尝不是一种“杀人” ​  展开c
130,fydxjy2021,2022年02月02日 15:29,刘学州的事情，人没了，舅妈家想起诉都无解啊，“没有合法的诉讼主体资格，一不是直系亲属，二没有合法收养手续，三没有合法的委托手续，目前没法破解……” ​
131,苴国布衣,2022年02月02日 15:21,刘学州事件最新进展O刘学州事件最新进展# ​
132,冈仁波齐的天空,2022年02月02日 15:08,#刘学州亲生父母或涉遗弃罪#这父母不配为父母，也不配为人。 ​
133,星引力的塔罗窝,2022年02月02日 14:38,各位给刘学州做的排位好了，编号101，清明可以查看 ​
134,我真的兔了哇_iiiiii,2022年02月02日 14:33,#刘学州家人已委托律师维权# 持续关注 等一个正义到来 ​
